"DateTime","SBILIFE","SBILIFE - PE"
"2018-04-10 04:00:00",695.7,65.17
"2018-04-11 04:00:00",719,64.87
"2018-04-12 04:00:00",719.05,65.04
"2018-04-13 04:00:00",711.65,65.04
"2018-04-16 04:00:00",708.9,65.32
"2018-04-17 04:00:00",721.4,65.67
"2018-04-18 04:00:00",721.35,65.61
"2018-04-19 04:00:00",722.9,64.99
"2018-04-20 04:00:00",716.15,64.99
"2018-04-23 04:00:00",716.95,68.3
"2018-04-24 04:00:00",746,69.53
"2018-04-25 04:00:00",766.1,68.29
"2018-04-26 04:00:00",762.8,65.75
"2018-04-27 04:00:00",758.85,65.75
"2018-04-30 04:00:00",743.1,64.58
"2018-05-02 04:00:00",746.55,62.83
"2018-05-03 04:00:00",732,61.08
"2018-05-04 04:00:00",702.1,61.08
"2018-05-07 04:00:00",703.6,61.24
"2018-05-08 04:00:00",702.45,61.46
"2018-05-09 04:00:00",699.95,62.39
"2018-05-10 04:00:00",713.75,60.76
"2018-05-11 04:00:00",698.3,60.76
"2018-05-14 04:00:00",691.15,59.18
"2018-05-15 04:00:00",678.9,58.21
"2018-05-16 04:00:00",667.65,58.39
"2018-05-17 04:00:00",669.7,58.12
"2018-05-18 04:00:00",665.2,58.12
"2018-05-21 04:00:00",655.2,57.69
"2018-05-22 04:00:00",659.95,58.83
"2018-05-23 04:00:00",679.05,58.78
"2018-05-24 04:00:00",678.3,59.58
"2018-05-25 04:00:00",683.85,59.58
"2018-05-28 04:00:00",685.35,60.56
"2018-05-29 04:00:00",695.3,60.39
"2018-05-30 04:00:00",694.3,60.04
"2018-05-31 04:00:00",689.8,58.78
"2018-06-01 04:00:00",676,58.78
"2018-06-04 04:00:00",660.05,58.3
"2018-06-05 04:00:00",665,59.44
"2018-06-06 04:00:00",683.1,60.31
"2018-06-07 04:00:00",692,60.34
"2018-06-08 04:00:00",692.35,60.34
"2018-06-11 04:00:00",712.5,62.76
"2018-06-12 04:00:00",719.9,61.09
"2018-06-13 04:00:00",702.25,60.05
"2018-06-14 04:00:00",689.9,58.78
"2018-06-15 04:00:00",671.8,58.78
"2018-06-18 04:00:00",671.85,58.74
"2018-06-19 04:00:00",673.45,58.97
"2018-06-20 04:00:00",676.2,58.87
"2018-06-21 04:00:00",675.45,59.69
"2018-06-22 04:00:00",685.2,59.69
"2018-06-25 04:00:00",689.75,59.4
"2018-06-26 04:00:00",684.7,59.17
"2018-06-27 04:00:00",677.75,58.74
"2018-06-28 04:00:00",666.4,58.85
"2018-06-29 04:00:00",674.35,58.85
"2018-07-02 04:00:00",669.4,58.48
"2018-07-03 04:00:00",,57.8
"2018-07-04 04:00:00",664.05,57.81
"2018-07-05 04:00:00",665.1,58.17
"2018-07-06 04:00:00",668.05,58.17
"2018-07-09 04:00:00",664.85,57.6
"2018-07-10 04:00:00",661.35,57.78
"2018-07-11 04:00:00",662.1,57.87
"2018-07-12 04:00:00",664.7,57.61
"2018-07-13 04:00:00",661.05,57.61
"2018-07-16 04:00:00",656.2,58.04
"2018-07-17 04:00:00",664.55,56.99
"2018-07-18 04:00:00",649.2,55.03
"2018-07-19 04:00:00",633.75,55.41
"2018-07-20 04:00:00",633.05,55.41
"2018-07-23 04:00:00",652.75,56.65
"2018-07-24 04:00:00",654.65,57.61
"2018-07-25 04:00:00",659.75,58.39
"2018-07-26 04:00:00",673.2,58.49
"2018-07-27 04:00:00",694.05,58.49
"2018-07-30 04:00:00",689.35,58.05
"2018-07-31 04:00:00",686,58.05
"2018-08-01 04:00:00",695.35,58.49
"2018-08-02 04:00:00",695.2,57.96
"2018-08-03 04:00:00",689.8,57.96
"2018-08-06 04:00:00",686.6,57.73
"2018-08-07 04:00:00",686.1,56.81
"2018-08-08 04:00:00",677.2,56.62
"2018-08-09 04:00:00",673.4,54.79
"2018-08-10 04:00:00",649.9,54.79
"2018-08-13 04:00:00",653.7,55.45
"2018-08-14 04:00:00",658.85,55.45
"2018-08-16 04:00:00",648.55,55.12
"2018-08-17 04:00:00",654.95,55.12
"2018-08-20 04:00:00",672.55,56.39
"2018-08-21 04:00:00",670.1,56.39
"2018-08-23 04:00:00",670.05,55.59
"2018-08-24 04:00:00",660.85,55.59
"2018-08-27 04:00:00",660.4,55.38
"2018-08-28 04:00:00",658.25,56.25
"2018-08-29 04:00:00",669.3,55.71
"2018-08-30 04:00:00",664.2,56.81
"2018-08-31 04:00:00",672.4,56.81
"2018-09-03 04:00:00",666.95,56.13
"2018-09-04 04:00:00",664.85,56.56
"2018-09-05 04:00:00",669.4,57.23
"2018-09-06 04:00:00",679.05,57.65
"2018-09-07 04:00:00",676.1,57.65
"2018-09-10 04:00:00",676,56.64
"2018-09-11 04:00:00",676.6,56.39
"2018-09-12 04:00:00",673.3,56.39
"2018-09-14 04:00:00",670.05,56.39
"2018-09-17 04:00:00",642.65,52.22
"2018-09-18 04:00:00",623,51.42
"2018-09-19 04:00:00",612.45,51.42
"2018-09-21 04:00:00",613.35,51.51
"2018-09-24 04:00:00",586.9,47.81
"2018-09-25 04:00:00",566.05,48.48
"2018-09-26 04:00:00",577.25,46.29
"2018-09-27 04:00:00",551.8,43.16
"2018-09-28 04:00:00",511.6,43.16
"2018-10-01 04:00:00",521.35,43.93
"2018-10-03 04:00:00",542.05,47.13
"2018-10-04 04:00:00",565.4,45.53
"2018-10-05 04:00:00",558.3,45.53
"2018-10-08 04:00:00",549.45,45.45
"2018-10-09 04:00:00",540.3,48
"2018-10-10 04:00:00",561.05,45.57
"2018-10-11 04:00:00",540.85,46.46
"2018-10-12 04:00:00",552.5,46.46
"2018-10-15 04:00:00",538.7,46.06
"2018-10-16 04:00:00",546.6,47.31
"2018-10-17 04:00:00",559.95,47.31
"2018-10-19 04:00:00",564.15,47.38
"2018-10-22 04:00:00",557.85,48.22
"2018-10-23 04:00:00",579.45,46.46
"2018-10-24 04:00:00",563.75,46.88
"2018-10-25 04:00:00",563.4,47.39
"2018-10-26 04:00:00",570.4,47.39
"2018-10-29 04:00:00",578.9,46.07
"2018-10-30 04:00:00",558.9,46.57
"2018-10-31 04:00:00",560.4,46.57
"2018-11-01 04:00:00",563.8,46.29
"2018-11-02 04:00:00",563.3,46.29
"2018-11-05 04:00:00",577.9,47.81
"2018-11-06 04:00:00",579.65,47.71
"2018-11-07 04:00:00",577.75,47.71
"2018-11-09 04:00:00",574.85,47.09
"2018-11-12 04:00:00",575.05,47.15
"2018-11-13 04:00:00",572.15,48.05
"2018-11-14 04:00:00",583,47.96
"2018-11-15 04:00:00",579.05,47.56
"2018-11-16 04:00:00",577.3,47.56
"2018-11-19 04:00:00",568.75,46.57
"2018-11-20 04:00:00",565.55,46.08
"2018-11-21 04:00:00",560.2,47.03
"2018-11-22 04:00:00",572.7,47.03
"2018-11-26 04:00:00",568.2,46.86
"2018-11-27 04:00:00",570.5,46.99
"2018-11-28 04:00:00",568.95,46.98
"2018-11-29 04:00:00",571.65,46.98
"2018-11-30 04:00:00",571.4,46.98
"2018-12-03 04:00:00",569.35,47.24
"2018-12-04 04:00:00",569.85,47.31
"2018-12-05 04:00:00",572.8,46.97
"2018-12-06 04:00:00",567.8,46.32
"2018-12-07 04:00:00",562.55,46.32
"2018-12-10 04:00:00",562.45,46.24
"2018-12-11 04:00:00",562.65,47.09
"2018-12-12 04:00:00",570.25,47.39
"2018-12-13 04:00:00",571,46.71
"2018-12-14 04:00:00",567,46.71
"2018-12-17 04:00:00",589.8,48.33
"2018-12-18 04:00:00",587.6,47.86
"2018-12-19 04:00:00",583.05,48.88
"2018-12-20 04:00:00",592.45,47.64
"2018-12-21 04:00:00",597.5,47.64
"2018-12-24 04:00:00",579.45,47.56
"2018-12-26 04:00:00",574.85,49.04
"2018-12-27 04:00:00",590.6,49.25
"2018-12-28 04:00:00",598.8,49.25
"2018-12-31 04:00:00",597.85,49.06
"2019-01-01 04:00:00",598.85,49.62
"2019-01-02 04:00:00",601.7,49.7
"2019-01-03 04:00:00",600.05,49.48
"2019-01-04 04:00:00",602.85,49.48
"2019-01-07 04:00:00",602.45,50.52
"2019-01-08 04:00:00",612.5,53.41
"2019-01-09 04:00:00",642.95,52.22
"2019-01-10 04:00:00",634.75,53
"2019-01-11 04:00:00",638.5,53
"2019-01-14 04:00:00",620.1,51.31
"2019-01-15 04:00:00",623.9,51.31
"2019-01-16 04:00:00",621.4,51.72
"2019-01-17 04:00:00",623.35,50.69
"2019-01-18 04:00:00",620.2,49.31
"2019-01-21 04:00:00",617.65,49.71
"2019-01-22 04:00:00",619.9,49.47
"2019-01-23 04:00:00",620,49.55
"2019-01-24 04:00:00",618.25,49.39
"2019-01-25 04:00:00",619.6,49.39
"2019-01-28 04:00:00",599.25,48.82
"2019-01-29 04:00:00",606.1,48.11
"2019-01-30 04:00:00",599.95,47.71
"2019-01-31 04:00:00",595,47.71
"2019-02-01 04:00:00",590.95,47.31
"2019-02-04 04:00:00",589.75,46.7
"2019-02-05 04:00:00",584,46.51
"2019-02-06 04:00:00",579.4,46.2
"2019-02-07 04:00:00",577.25,46.34
"2019-02-08 04:00:00",577.55,46.34
"2019-02-11 04:00:00",566.85,46.03
"2019-02-12 04:00:00",574.7,45.67
"2019-02-13 04:00:00",569.85,45.95
"2019-02-14 04:00:00",568.55,45.79
"2019-02-15 04:00:00",568.85,45.79
"2019-02-18 04:00:00",567.45,44.99
"2019-02-19 04:00:00",562.45,44.9
"2019-02-20 04:00:00",561.6,44.9
"2019-02-21 04:00:00",561.9,44.88
"2019-02-22 04:00:00",559.85,44.88
"2019-02-25 04:00:00",561,44.9
"2019-02-26 04:00:00",559.4,44.85
"2019-02-27 04:00:00",563.3,45.15
"2019-02-28 04:00:00",578.55,46.59
"2019-03-01 04:00:00",607.9,48.11
"2019-03-05 04:00:00",607.75,48.6
"2019-03-06 04:00:00",607.95,48.55
"2019-03-07 04:00:00",592.1,47.38
"2019-03-08 04:00:00",587.15,47.03
"2019-03-11 04:00:00",622.45,49.79
"2019-03-12 04:00:00",622.9,49.83
"2019-03-13 04:00:00",615.35,49.25
"2019-03-14 04:00:00",614.9,49.16
"2019-03-15 04:00:00",615.05,49.48
"2019-03-18 04:00:00",610.8,49.12
"2019-03-19 04:00:00",611.9,48.67
"2019-03-20 04:00:00",612.85,49.19
"2019-03-22 04:00:00",615.5,49.56
"2019-03-25 04:00:00",611.05,49.15
"2019-03-26 04:00:00",609.6,48.71
"2019-03-27 04:00:00",618.7,49.75
"2019-03-28 04:00:00",616.2,49.39
"2019-03-29 04:00:00",583.4,46.74
"2019-04-01 04:00:00",598.2,48.09
"2019-04-02 04:00:00",601.15,48.11
"2019-04-03 04:00:00",601.95,48.15
"2019-04-04 04:00:00",594.7,47.71
"2019-04-05 04:00:00",612.1,48.95
"2019-04-08 04:00:00",619.8,49.7
"2019-04-09 04:00:00",618.2,49.79
"2019-04-10 04:00:00",621.35,49.65
"2019-04-11 04:00:00",624.95,50.05
"2019-04-12 04:00:00",625.2,50.12
"2019-04-15 04:00:00",623.35,50.12
"2019-04-16 04:00:00",617.7,49.39
"2019-04-18 04:00:00",614.9,49.39
"2019-04-22 04:00:00",616.3,49.11
"2019-04-23 04:00:00",600.2,48.11
"2019-04-24 04:00:00",610.3,48.88
"2019-04-25 04:00:00",614.35,49.26
"2019-04-26 04:00:00",637.25,47.85
"2019-04-30 04:00:00",639.85,48.36
"2019-05-02 04:00:00",650.5,49.12
"2019-05-03 04:00:00",664.15,50.25
"2019-05-06 04:00:00",660,49.58
"2019-05-07 04:00:00",662.1,50
"2019-05-08 04:00:00",650.55,49.16
"2019-05-09 04:00:00",652.25,49.54
"2019-05-10 04:00:00",642.05,48.51
