"DateTime","JIOFIN","JIOFIN - PB"
"2025-09-08 04:00:00",311.1,1.6
"2025-09-09 04:00:00",307.95,1.58
"2025-09-10 04:00:00",310.05,1.6
"2025-09-11 04:00:00",310.7,1.6
"2025-09-12 04:00:00",311.2,1.6
"2025-09-15 04:00:00",315.35,1.62
"2025-09-16 04:00:00",315.45,1.62
"2025-09-17 04:00:00",315.85,1.62
"2025-09-18 04:00:00",317.35,1.63
"2025-09-19 04:00:00",317,1.63
"2025-09-22 04:00:00",313.85,1.61
"2025-09-23 04:00:00",312.55,1.61
"2025-09-24 04:00:00",306.75,1.58
"2025-09-25 04:00:00",301.6,1.55
"2025-09-26 04:00:00",295.85,1.52
"2025-09-29 04:00:00",294.2,1.51
"2025-09-30 04:00:00",293.2,1.51
"2025-10-01 04:00:00",300.05,1.54
"2025-10-03 04:00:00",301.7,1.55
"2025-10-06 04:00:00",306.25,1.58
"2025-10-07 04:00:00",309.9,1.59
"2025-10-08 04:00:00",304.65,1.57
"2025-10-09 04:00:00",307.35,1.58
"2025-10-10 04:00:00",308.15,1.59
"2025-10-13 04:00:00",308.45,1.59
"2025-10-14 04:00:00",305.6,1.57
"2025-10-15 04:00:00",312.65,1.61
"2025-10-16 04:00:00",312.1,1.61
"2025-10-17 04:00:00",309.3,1.59
"2025-10-20 04:00:00",310.7,1.6
"2025-10-21 04:00:00",311.8,1.6
"2025-10-23 04:00:00",309.05,1.59
"2025-10-24 04:00:00",305.95,1.57
"2025-10-27 04:00:00",305.55,1.57
"2025-10-28 04:00:00",307.95,1.58
"2025-10-29 04:00:00",309.75,1.59
"2025-10-30 04:00:00",309.8,1.59
"2025-10-31 04:00:00",306.8,1.58
"2025-11-03 04:00:00",306.8,1.58
"2025-11-04 04:00:00",301.9,1.55
"2025-11-06 04:00:00",298.1,1.53
"2025-11-07 04:00:00",299.3,1.54
"2025-11-10 04:00:00",301.95,1.55
"2025-11-11 04:00:00",304.9,1.57
"2025-11-12 04:00:00",309.85
