"DateTime","JIOFIN","JIOFIN - PB"
"2024-03-19 04:00:00",353.3,12.68
"2024-03-20 04:00:00",337.5,12.11
"2024-03-21 04:00:00",338.7,12.16
"2024-03-22 04:00:00",344.65,12.37
"2024-03-26 04:00:00",346.15,12.42
"2024-03-27 04:00:00",350.7,12.59
"2024-03-28 04:00:00",353.75,12.7
"2024-04-01 04:00:00",356.95,12.81
"2024-04-02 04:00:00",357.1,12.82
"2024-04-03 04:00:00",357.1,12.82
"2024-04-04 04:00:00",361.3,12.97
"2024-04-05 04:00:00",373.2,13.39
"2024-04-08 04:00:00",369.25,13.25
"2024-04-09 04:00:00",367.7,13.2
"2024-04-10 04:00:00",370.45,13.29
"2024-04-12 04:00:00",372.2,13.36
"2024-04-15 04:00:00",354.3,12.72
"2024-04-16 04:00:00",361.85,12.99
"2024-04-18 04:00:00",378.4,13.58
"2024-04-19 04:00:00",370.1,9.62
"2024-04-22 04:00:00",382.7,9.95
"2024-04-23 04:00:00",387.95,10.09
"2024-04-24 04:00:00",381.85,9.93
"2024-04-25 04:00:00",382.3,9.94
"2024-04-26 04:00:00",381.75,9.92
"2024-04-29 04:00:00",380.5,9.89
"2024-04-30 04:00:00",377,9.8
"2024-05-02 04:00:00",379.65,9.87
"2024-05-03 04:00:00",375.9,9.77
"2024-05-06 04:00:00",370.25,9.63
"2024-05-07 04:00:00",356.25,9.26
"2024-05-08 04:00:00",355.2,9.23
"2024-05-09 04:00:00",345.4,8.98
"2024-05-10 04:00:00",347.85,9.04
"2024-05-13 04:00:00",341.35,8.87
"2024-05-14 04:00:00",352.45,9.16
"2024-05-15 04:00:00",353.85,9.2
"2024-05-16 04:00:00",355.05,9.23
"2024-05-17 04:00:00",357.2,9.29
"2024-05-18 04:00:00",362.2,9.42
"2024-05-21 04:00:00",357.75,9.3
"2024-05-22 04:00:00",357.65,9.3
"2024-05-23 04:00:00",367.75,9.56
"2024-05-24 04:00:00",365.4,9.5
"2024-05-27 04:00:00",360.05,9.36
"2024-05-28 04:00:00",356.85,9.28
"2024-05-29 04:00:00",349.2,9.08
"2024-05-30 04:00:00",347.75,9.04
"2024-05-31 04:00:00",344.35,8.95
"2024-06-03 04:00:00",356.1,9.26
"2024-06-04 04:00:00",332.95,8.66
"2024-06-05 04:00:00",345.6,8.99
"2024-06-06 04:00:00",349.4,9.08
"2024-06-07 04:00:00",353.15,9.18
"2024-06-10 04:00:00",350.35,9.11
"2024-06-11 04:00:00",350.25,9.11
"2024-06-12 04:00:00",360.95,9.38
"2024-06-13 04:00:00",360.8,9.38
"2024-06-14 04:00:00",357,9.28
"2024-06-18 04:00:00",363.2,9.44
"2024-06-19 04:00:00",358.3,9.32
"2024-06-20 04:00:00",365.55,9.5
"2024-06-21 04:00:00",360.9,9.38
"2024-06-24 04:00:00",355.35,9.24
"2024-06-25 04:00:00",359.05,9.33
"2024-06-26 04:00:00",356.25,9.26
"2024-06-27 04:00:00",353.6,9.19
"2024-06-28 04:00:00",358.15,9.31
"2024-07-01 04:00:00",352.8,9.17
"2024-07-02 04:00:00",351,9.13
"2024-07-03 04:00:00",351.3,9.13
"2024-07-04 04:00:00",350.85,9.12
"2024-07-05 04:00:00",352.75,9.17
"2024-07-08 04:00:00",348.3,9.06
"2024-07-09 04:00:00",349.85,9.1
"2024-07-10 04:00:00",347.95,9.05
"2024-07-11 04:00:00",348.05,9.05
"2024-07-12 04:00:00",350.35,9.11
"2024-07-15 04:00:00",355.4,9.24
"2024-07-16 04:00:00",344.25,1.57
"2024-07-18 04:00:00",337,1.54
"2024-07-19 04:00:00",338.75,1.55
"2024-07-22 04:00:00",340.95,1.56
"2024-07-23 04:00:00",334.9,1.53
"2024-07-24 04:00:00",334.7,1.53
"2024-07-25 04:00:00",329.2,1.5
"2024-07-26 04:00:00",331.9,1.52
"2024-07-29 04:00:00",330.2,1.51
"2024-07-30 04:00:00",329.35,1.5
"2024-07-31 04:00:00",328.5,1.5
"2024-08-01 04:00:00",328.7,1.5
"2024-08-02 04:00:00",326.25,1.49
"2024-08-05 04:00:00",317.05,1.45
"2024-08-06 04:00:00",311.35,1.42
"2024-08-07 04:00:00",329.75,1.51
"2024-08-08 04:00:00",326.4,1.49
"2024-08-09 04:00:00",325.6,1.49
"2024-08-12 04:00:00",329.15,1.5
"2024-08-13 04:00:00",323.3,1.48
"2024-08-14 04:00:00",320.2,1.46
"2024-08-16 04:00:00",328.15,1.5
